date,maxtemp,mintemp,avgtemp,departuretemp,hdd,cdd,precip,newsnow,snowdepth
2009-01-01,26,15,20.5,-12.9,44,0,0.00,0.0,0
2009-01-02,34,23,28.5,-4.8,36,0,T,T,0
2009-01-03,38,29,33.5,0.4,31,0,T,T,0
2009-01-04,42,25,33.5,0.5,31,0,0.00,0.0,0
2009-01-05,43,38,40.5,7.6,24,0,T,0.0,0
2009-01-06,38,31,34.5,1.7,30,0,0.08,T,0
2009-01-07,38,31,34.5,1.8,30,0,1.19,0.0,0
2009-01-08,38,29,33.5,0.9,31,0,0.00,0.0,0
2009-01-09,32,26,29.0,-3.5,36,0,0.00,0.0,0
2009-01-10,30,23,26.5,-5.9,38,0,0.14,1.0,0
2009-01-11,31,24,27.5,-4.9,37,0,0.19,T,1
2009-01-12,33,21,27.0,-5.3,38,0,0.00,0.0,1
2009-01-13,41,28,34.5,2.2,30,0,0.00,0.0,0
2009-01-14,36,16,26.0,-6.3,39,0,0.00,0.0,0
2009-01-15,22,15,18.5,-13.8,46,0,0.05,1.0,1
2009-01-16,16,9,12.5,-19.7,52,0,0.00,0.0,0
2009-01-17,22,6,14.0,-18.2,51,0,0.00,0.0,0
2009-01-18,35,22,28.5,-3.8,36,0,0.18,2.2,T
2009-01-19,33,26,29.5,-2.8,35,0,0.18,1.8,3
2009-01-20,29,19,24.0,-8.3,41,0,0.00,0.0,4
2009-01-21,26,17,21.5,-10.8,43,0,0.00,0.0,3
2009-01-22,37,20,28.5,-3.9,36,0,0.00,0.0,3
2009-01-23,47,31,39.0,6.6,26,0,0.00,0.0,2
2009-01-24,46,17,31.5,-1.0,33,0,0.00,0.0,0
2009-01-25,27,13,20.0,-12.5,45,0,0.00,0.0,0
2009-01-26,29,19,24.0,-8.6,41,0,0.00,0.0,0
2009-01-27,29,25,27.0,-5.7,38,0,0.00,0.0,0
2009-01-28,41,24,32.5,-0.3,32,0,0.97,3.0,3
2009-01-29,36,26,31.0,-1.9,34,0,0.00,0.0,1
2009-01-30,35,26,30.5,-2.5,34,0,T,T,1
2009-01-31,27,20,23.5,-9.6,41,0,0.00,0.0,1
